Route;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
R4;649854;661551;687173;720587;723243;667272;671259;632655;616284;682573;687220;634205;704634;717260
S3;343210;347412;364720;380259;395105;387779;429474;484634;563612;630888;658622;676868;733612;713692
315;435129;445517;552483;537062;523952;538077;608198;667433;691111;756282;774129;711582;745595;711288
N253;274077;294895;254810;257969;399553;460998;484611;570429;552022;686559;694905;696680;710555;707021
T33;0;980905;1154880;1183271;1129700;0;0;0;0;0;0;0;0;693026
323;0;0;0;47261;374890;514504;577243;566188;633986;604026;683874;749871;759109;691250
354;0;0;0;386637;538983;570661;564584;559206;587746;626941;646910;657100;642061;677298
N5;220340;236893;340601;396732;452972;504444;563684;563741;565913;586526;632045;660943;706489;674227
W13;476283;534179;532155;577022;557597;582418;628256;619075;584462;674083;718397;706982;707506;664414
352;0;0;585;329214;445762;466621;470683;455974;469375;558331;603424;618300;648883;638721
B13;583621;632518;650780;670448;655629;612957;605648;586498;571542;620404;607190;611201;654471;637045
B14;183576;183215;459129;477402;467198;430727;408294;401412;459548;524500;542949;554105;608081;615921
N35;87515;95929;111468;183434;203264;286000;357086;346789;351836;383489;412148;464685;506446;593393
498;0;0;0;0;0;0;72309;355865;416747;491660;516772;542894;572868;567445
N47;83313;118762;306465;316063;317685;374565;396093;444177;483445;476651;490594;510657;559071;548899
N14;212131;222688;349714;413856;450901;456304;513920;548528;601294;434726;512893;533310;538466;532879
H18;369347;410969;390740;391244;420418;409652;378328;309441;403834;475373;500776;503034;531442;527774
N26;255331;273179;344361;365461;337620;356196;387551;458247;426477;423124;438593;473101;508251;524936
R9;611866;581280;524770;496654;482471;452708;437250;431970;438401;468864;468359;482917;502393;522200
138;1171756;1162620;1149192;1168456;1095386;747980;382240;390121;401068;451704;479428;485059;512261;515387
N91;254199;206469;231897;276430;328582;322204;331558;402014;380949;371646;477549;505519;520564;509157
U7;111688;347863;352631;348498;314025;315742;348302;322326;346773;388850;411798;500964;510350;508109
N68;180343;256385;315695;328418;374620;400107;440609;436856;443657;424574;427001;452197;487318;498730
H2;509605;565101;425704;506785;567728;497839;475497;493687;498096;497670;492671;511111;545387;496527
H19;0;0;0;0;0;0;9828;302797;378154;442617;469821;466456;488527;495309
